Método,N Muestras,Hits Totales,Prob. Estimada,Error Estándar,Tiempo Ejecución (s),Muestras / Seg
Muestreo Directo,1000000,13,1.3e-05,3.6055278393045307e-06,96.73,10338.0
MCMC Metropolis,1000000,8,8e-06,2.828415811015064e-06,10.216,97888.5
