Intento,Configuracion,N_runs,Hits,Probabilidad_Estimada
Intento 1,Configuración A,100000,13,0.00013
Intento 1,Configuración B,100000,15,0.00015
Intento 1,Configuración C,100000,12,0.00012
Intento 2,Configuración A,100000,12,0.00012
Intento 2,Configuración B,100000,10,0.0001
Intento 2,Configuración C,100000,9,9e-05
Intento 3,Configuración A,100000,15,0.00015
Intento 3,Configuración B,100000,11,0.00011
Intento 3,Configuración C,100000,9,9e-05
